date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:57	387945/387945	---M--	200	added ('OK')	image/jpeg	etag:%2214292598aa08efd1091b2ddb2032289c-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/helen-ngoc-n-p9vszt2lnny-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/helen-ngoc-n-p9vszt2lnny-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:15:57	62164/62164	---M--	200	added ('OK')	image/jpeg	etag:fe16ca9399161505467e05d278ce22fa7146a7bf	https://d33wubrfki0l68.cloudfront.net/0fa9381836b014e119429f41405ceb0882477432/3df47/assets/images/gallery/thumbs/helen-ngoc-n-p9vszt2lnny-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/0fa9381836b014e119429f41405ceb0882477432/3df47/assets/images/gallery/thumbs/helen-ngoc-n-p9vszt2lnny-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:01	550188/550188	---M--	200	added ('OK')	image/jpeg	etag:%223261f2d2110971a008fba297d76d40b0-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/james-johnston-dwhaprpqvmi-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/james-johnston-dwhaprpqvmi-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:01	72964/72964	---M--	200	added ('OK')	image/jpeg	etag:4a636e69b6ce5a7c6a1dd0f2769e0e6f212b8eea	https://d33wubrfki0l68.cloudfront.net/576f2c9310e22a0c8b0b114bfc9f10d12dc0486f/2b362/assets/images/gallery/thumbs/james-johnston-dwhaprpqvmi-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/576f2c9310e22a0c8b0b114bfc9f10d12dc0486f/2b362/assets/images/gallery/thumbs/james-johnston-dwhaprpqvmi-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:02	231508/231508	---M--	200	added ('OK')	image/jpeg	etag:%22a3d624d61b8323e536d40d5bf861f012-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/josh-hammond-vonmtj81t-e-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/josh-hammond-vonmtj81t-e-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:03	29956/29956	---M--	200	added ('OK')	image/jpeg	etag:839938857caede344c6cce852d37b383b426aedd	https://d33wubrfki0l68.cloudfront.net/f1d520eb7e299e0340c6a781474a82f903c94d65/a0683/assets/images/gallery/thumbs/josh-hammond-vonmtj81t-e-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/f1d520eb7e299e0340c6a781474a82f903c94d65/a0683/assets/images/gallery/thumbs/josh-hammond-vonmtj81t-e-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:06	67412/67412	---M--	200	added ('OK')	image/jpeg	etag:918fd21fbbb873c3f9e6cc9770edbca7821323d6	https://d33wubrfki0l68.cloudfront.net/44eec1b7f73167452d1b81707c370f2c2d48e44b/11060/assets/images/gallery/thumbs/meg-jerrard-zevmf9g-4ky-unsplash507.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/44eec1b7f73167452d1b81707c370f2c2d48e44b/11060/assets/images/gallery/thumbs/meg-jerrard-zevmf9g-4ky-unsplash507.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:06	455209/455209	---M--	200	added ('OK')	image/jpeg	etag:%228d8ac471138e92f7ddcc06af38d1151d-ssl%22	https://ux.emprise.tours/assets/images/gallery/1568/meg-jerrard-zevmf9g-4ky-unsplash1568.jpg	/storage/emulated/0/HTTrack/Websites/emprise/ux.emprise.tours/assets/images/gallery/1568/meg-jerrard-zevmf9g-4ky-unsplash1568.jpg	(from https://ux.emprise.tours/gallery-page)
13:16:07	201/201	---M--	200	added ('OK')	image/png	etag:0a8a837210ddadfbcb5e7b6ac1ab89d30ac6203c	https://d33wubrfki0l68.cloudfront.net/4d7eb94bc5c5bb88e98f6c2f1193015b22647a4c/a94ab/assets/images/back-arrow.png	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/4d7eb94bc5c5bb88e98f6c2f1193015b22647a4c/a94ab/assets/images/back-arrow.png	(from https://ux.emprise.tours/account-pages--forgot-password)
13:16:07	1693/1693	---M--	200	added ('OK')	image/jpeg	etag:a14d8d642b1e095d21772aef04dbb5f43a4c7faa	https://d33wubrfki0l68.cloudfront.net/a44820700a7384e225da8eea78ae44c04e916695/b9a62/assets/images/card_items-photo.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/a44820700a7384e225da8eea78ae44c04e916695/b9a62/assets/images/card_items-photo.jpg	(from https://ux.emprise.tours/checkout-page)
